id,,,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G168,G169,G170,G171,G172,G173,G174,G175,G176,G177,G178,G179,G180
473222,3,74.1,np,nn,np,np,np,nn,nn,np,np,nn,np,--,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,--,nn,nn,np,np,nn,np,np,np,--,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
456463,3,74.4,np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,--,nn,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np
441141,3,74.9,np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,--,nn,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,np,nn,np,np,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,--,np,nn,np,nn,nn,np
stsnp_c1_6619,3,81.3,np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,np,np,nn,np,nn,--,--,np,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,--,--,nn,--,--,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,nn,np,np,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,np,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,nn,nn,np
stsnp_c1_10582,3,85.3,np,nn,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,nn,np,np,nn,nn,np,np,np,nn,nn,nn,np,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,nn,nn,--,np,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,--,--,nn,--,--,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,nn,nn,np
stsnp_c1_10580,3,86.2,np,nn,np,np,np,np,nn,np,np,nn,np,np,np,--,--,nn,np,np,nn,nn,np,np,--,nn,nn,nn,np,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,np,nn,np,np,np,nn,np,nn,nn,nn,np,nn,--,nn,nn,nn,np,np,np,np,nn,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,np,np,nn,nn,nn,np,nn,nn,nn,nn,np
stsnp_c1_261,4,8.6,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,np,np,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,--,nn,--,--,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,np,np,nn,np,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn
439062,4,14.2,nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,--,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,--,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,--,--,np,np,--,nn,nn,nn,--,nn,--,--,--,nn
472889,4,14.4,nn,np,nn,nn,nn,--,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
457178,4,14.4,nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
657368,4,16,nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
473652,4,16,nn,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,np,np,np,nn,nn,--,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,--,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
stsnp_c1_14047,4,23.6,nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,--,--,nn,--,--,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn
PM0126,4,23.8,nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
stsnp_c1_3055,4,24.8,nn,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,--,nn,--,nn,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
stsnp_c1_3057,4,26.5,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,np,np,np,nn,np,--,--,nn,--,--,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
stsnp_c1_12035,4,28.2,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,np,np,nn,np,nn,nn,nn,--,np,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,np,np,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,--,--,nn,--,--,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,--,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
stsnp_c1_14465,4,28.9,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,np,nn,np,nn,nn,nn,--,--,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,np,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,nn,--,nn,--,--,np,np,np,nn,np,np,nn,np,nn,nn,np,nn,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn
539063,4,39.7,np,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,np,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn
437059,4,42.2,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,np,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,nn,nn,nn,np,np,np,nn,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,nn
stsnp_c1_9498,4,48.4,nn,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,np,np,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,np,nn,--,np,np,--,--,np,np,np,nn,np,nn,np,nn,np,nn,nn,np,np,nn,np,nn,np,np,np,np,nn,np,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,nn,np,np,np,nn,nn,np,np,np,np,nn,--,nn,np,--,--,np,np,nn,np,nn,nn,np,np,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,nn,np,np,np,np,nn,nn,np,nn,np,np,nn,np,nn,np,np,np,nn,np,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,np,np,np,np,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,nn,np,np
437377,4,67.7,nn,nn,nn,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,np,nn,nn,np,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,np,nn
stsnp_c1_8814,4,68.6,nn,nn,nn,np,nn,np,np,np,np,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,nn,--,nn,nn,np,nn,np,np,np,np,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,nn,--,--,np,np,--,np,np,nn,np,np,nn,nn,np,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,np,np,np,nn,nn,np,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,np,nn,np,np,np,np,nn,np,nn,nn,np,nn,np,np,np,np,nn,np,np,nn,nn,np,np,nn,np,np,np,np,np,np,nn,np,np,nn
stsnp_c1_2132,9,19.7,nn,np,np,np,np,np,np,nn,nn,nn,np,nn,np,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,--,nn,np,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,np,np,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,np,nn,np,nn,np,--,--,nn,--,--,nn,np,np,np,nn,np,np,np,np,np,np,np,nn,np,np,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,nn,np,np,nn,np,nn
stsnp_c1_2254,9,22,nn,np,np,np,np,np,np,nn,nn,nn,np,nn,np,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,--,--,np,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,np,np,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,np,nn,np,nn,np,nn,--,nn,nn,--,nn,np,np,nn,nn,np,np,np,np,np,np,np,nn,np,np,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,np,np,nn,np,nn
657037,9,22.1,nn,np,np,np,np,np,np,nn,nn,nn,np,nn,np,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,np,np,np,np,np,np,np,nn,np,np,nn,nn,nn,np,np,np,np,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,nn,np,np,nn,nn,np,np,np,np,np,np,np,nn,np,np,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,np,np,nn,np,nn
stsnp_c1_16309,9,24.5,nn,np,np,np,np,np,np,nn,nn,nn,np,nn,np,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,--,nn,np,np,np,nn,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,np,np,np,np,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,np,np,nn,np,nn,nn,--,--,nn,--,nn,nn,np,np,nn,nn,np,np,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,nn,nn,np,np,np,nn,np,nn
436913,9,25.8,nn,np,np,np,np,np,np,nn,nn,nn,np,nn,np,np,np,np,np,nn,np,--,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,--,np,np,np,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,np,np,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,nn,nn,np,np,np,nn,np,nn
stsnp_c1_4012,9,31.8,nn,np,np,np,np,nn,np,nn,nn,nn,np,nn,np,np,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,nn,nn,np,nn,nn,nn,nn,nn,np,--,nn,np,nn,np,np,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,nn,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,nn,np,nn,np,np,nn,np,np,nn,np,nn,nn,--,--,nn,--,--,nn,np,np,nn,nn,nn,np,np,np,nn,nn,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,nn,nn,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,nn,np,np,nn,nn,np,nn,np,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,np,np,np,np,np,np,np,nn,nn,np,np,np,nn,np,np
