id,,,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G168,G169,G170,G171,G172,G173,G174,G175,G176,G177,G178,G179,G180
533924,4,41.3,ll,ll,ll,--,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,--,lm,lm,ll,lm,--,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,--,ll,ll,ll,lm,ll,lm,--,ll,lm,ll,lm,lm,--,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,--,lm,--,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,--,ll,lm,lm,--,lm,ll
650975,4,42.5,ll,ll,ll,lm,ll,--,ll,--,lm,lm,lm,lm,ll,ll,ll,ll,--,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,--,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
458453,4,45.6,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,--,lm,ll,--,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
650893,4,45.7,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
654443,4,45.7,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,--,ll,ll,lm,ll,lm,lm,lm,lm,ll
535439,4,45.7,ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
654751,4,45.7,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,--,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
458714,4,45.7,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
539509,4,45.7,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,--,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
458198,4,46,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
458465,4,46.1,ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,--,--,lm,--,--,--,--
stsnp_c1_15216,4,46.4,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,--,--,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,--,--,ll,--,--,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
stsnp_c1_15222,4,46.7,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,--,--,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,--,--,ll,--,--,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,--,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll
458475,4,49.3,ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll
652171,4,49.3,ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,--,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll
459092,4,49.4,ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,--,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,--,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,--,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,--,lm,lm,lm,ll,ll,ll,ll,lm,ll,--,ll,lm,lm,ll,ll,ll,ll,ll,--,ll,ll,--,ll,ll,lm,lm,lm,ll,lm,ll,ll
stsnp_c1_10324,4,49.4,ll,ll,ll,lm,ll,ll,--,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,--,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,--,ll,lm,ll,lm,ll,ll,ll,lm,ll,--,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,ll,--,ll,--,--,ll,ll,ll,ll,ll,ll,lm,--,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,--,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll
457825,4,49.9,ll,ll,ll,lm,ll,--,ll,ll,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,--,ll,ll,ll,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,lm,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,lm,lm,--,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,--,ll
stsnp_c1_12656,4,56.1,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,--,--,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,--,ll,lm,ll,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,--,--,ll,--,--,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,ll,ll
stsnp_c1_9069,4,57.3,ll,ll,--,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,--,ll,lm,ll,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll
stsnp_c1_12614,4,58.6,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,--,--,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,--,ll,lm,ll,lm,ll,lm,ll,--,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,--,ll,ll,--,--,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll
458108,4,59,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,ll,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,ll,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll
PM0139,4,61.3,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,lm,ll,ll,ll,ll,lm,ll,lm,lm,ll,lm,--,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,--,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,--,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,lm,ll,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,--,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,lm,lm,ll,ll,lm,lm,lm,ll,lm,ll,ll
stsnp_c1_7206,4,62.4,ll,ll,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,lm,lm,lm,ll,ll,ll,ll,ll,ll,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,lm,ll,lm,lm,ll,lm,lm,lm,ll,lm,ll,lm,lm,lm,ll,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,ll,lm,lm,ll,ll,lm,ll,lm,lm,lm,lm,ll,lm,lm,--,ll,lm,lm,lm,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,lm,ll,ll,lm,lm,ll,lm,ll,ll,lm,lm,ll,ll,lm,lm,ll,lm,lm,lm,lm,lm,ll,ll,ll,lm,lm,ll,lm,ll,lm,lm,ll,ll,ll,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,lm,ll,lm,ll,ll
